title,author,bookInfo,authorInfo
The Name of the Wind: 10th Anniversary Deluxe Edition,Patrick Rothfuss,"Discover #1 New York Times-bestselling Patrick Rothfuss’ epic fantasy series, The Kingkiller Chronicle.   “I just love the world of Patrick Rothfuss.” —Lin-Manuel Miranda • “He’s bloody good, this Rothfuss guy.” —George R. R. Martin • “Rothfuss has real talent.” —Terry Brooks   OVER 1 MILLION COPIES SOLD!   DAY ONE: THE NAME OF THE WIND   My name is Kvothe.   I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are allowed in. I tread paths by moonlight that others fear to speak of during day. I have talked to Gods, loved women, and written songs that make the minstrels weep.   You may have heard of me.   So begins a tale unequaled in fantasy literature—the story of a hero told in his own voice. It is a tale of sorrow, a tale of survival, a tale of one man’s search for meaning in his universe, and how that search, and the indomitable will that drove it, gave birth to a legend.    Praise for The Kingkiller Chronicle:   “The best epic fantasy I read last year…. He’s bloody good, this Rothfuss guy.” —George R. R. Martin, New York Times-bestselling author of A Song of Ice and Fire   “Rothfuss has real talent, and his tale of Kvothe is deep and intricate and wondrous.”  —Terry Brooks, New York Times-bestselling author of Shannara   “It is a rare and great pleasure to find a fantasist writing…with true music in the words.” —Ursula K. Le Guin, award-winning author of Earthsea   “The characters are real and the magic is true.”  —Robin Hobb, New York Times-bestselling author of Assassin’s Apprentice   “Masterful…. There is a beauty to Pat’s writing that defies description.”  —Brandon Sanderson, New York Times-bestselling author of Mistborn","Patrick Rothfuss is the bestselling author of The Kingkiller Chronicle. His first novel, The Name of the Wind, won the Quill Award and was a Publishers Weekly Best Book of the Year. Its sequel, The Wise Man’s Fear, debuted at #1 on The New York Times bestseller… More about Patrick Rothfuss"
White Noise,Don DeLillo,"Part of the Penguin Orange Collection, a limited-run series of twelve influential and beloved American classics in a bold series design offering a modern take on the iconic Penguin paperbackWinner of the 2016 AIGA + Design Observer 50 Books | 50 Covers competition   For the seventieth anniversary of Penguin Classics, the Penguin Orange Collection celebrates the heritage of Penguin’s iconic book design with twelve influential American literary classics representing the breadth and diversity of the Penguin Classics library. These collectible editions are dressed in the iconic orange and white tri-band cover design, first created in 1935, while french flaps, high-quality paper, and striking cover illustrations provide the cutting-edge design treatment that is the signature of Penguin Classics Deluxe Editions today.White Noise, winner of the 1985 National Book Award, by the author of The Silence White Noise tells the story of Jack Gladney, his fourth wife, Babette, and four ultramodern offspring as they navigate the rocky passages of family life to the background babble of brand-name consumerism.","Don DeLillo is the author of sixteen novels, including Zero K, Underworld, Falling Man, White Noise, and Libra. He has won the National Book Award, the PEN/Faulkner Award for Fiction, the Jerusalem Prize for his complete body of work, and the William Dean Howells Medal from… More about Don DeLillo"
East of Eden,John Steinbeck,"Part of the Penguin Orange Collection, a limited-run series of twelve influential and beloved American classics in a bold series design offering a modern take on the iconic Penguin paperbackA Penguin ClassicWinner of the 2016 AIGA + Design Observer 50 Books | 50 Covers competitionFor the seventieth anniversary of Penguin Classics, the Penguin Orange Collection celebrates the heritage of Penguin’s iconic book design with twelve influential American literary classics representing the breadth and diversity of the Penguin Classics library. These collectible editions are dressed in the iconic orange and white tri-band cover design, first created in 1935, while french flaps, high-quality paper, and striking cover illustrations provide the cutting-edge design treatment that is the signature of Penguin Classics Deluxe Editions today.East of Eden   The masterpiece of Steinbeck’s later years, East of Eden is a sprawling epic in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love’s absence.","John Steinbeck, born in Salinas, California, in 1902, grew up in a fertile agricultural valley, about 25 miles from the Pacific Coast. Both the valley and the coast would serve as settings for some of his best fiction. In 1919… More about John Steinbeck"
Arrow of God,Chinua Achebe,"“My favorite novel.” —Chimamanda Ngozi Adichie“A magical writer—one of the greatest of the twentieth century.” —Margaret Atwood “African literature is incomplete and unthinkable without the works of Chinua Achebe.” —Toni Morrison                   The second novel in Chinua Achebe’s masterful African trilogy, following Things Fall Apart and preceding No Longer at Ease  When Things Fall Apart ends, colonial rule has been introduced to Umuofia, and the character of the nation, its values, freedoms, religious and socio-political foundations have substantially and irrevocably been altered. Arrow of God, the second novel in Chinua Achebe’s The African Trilogy, moves the historical narrative forward. This time, the action revolves around Ezeulu, the headstrong chief priest of the god Ulu, which is worshipped by the six villages of Umuaro. The novel is a meditation on the nature, uses, and responsibility of power and leadership. Ezeulu finds that his authority is increasingly under threat from rivals within his nation and functionaries of the newly established British colonial government. Yet he sees himself as untouchable. He is forced, with tragic consequences, to reconcile conflicting impulses in his own nature—a need to serve the protecting deity of his Umuaro people; a desire to retain control over their religious observances; and a need to gain increased personal power by pushing his authority to the limits. He ultimately fails as he leads his people to their own destruction, and consequently, his personal tragedy arises. Arrow of God is an unforgettable portrayal of the loss of faith, and the downfall of a man in a society forever altered by colonialism.","Chinua Achebe was born in Nigeria in 1930. His first novel, Things Falls Apart, became a classic of international literature and required reading for students worldwide. He also authored four subsequent novels, two short-story collections, and numerous other books. He was the… More about Chinua Achebe"
A Man of the People,Chinua Achebe,"From the renowned author of The African Trilogy, a political satire about an unnamed African country navigating a path between violence and corruption   As Minister for Culture, former school teacher M. A. Nanga is a man of the people, as cynical as he is charming, and a roguish opportunist. When Odili, an idealistic young teacher, visits his former instructor at the ministry, the division between them is vast. But in the eat-and-let-eat atmosphere, Odili’s idealism soon collides with his lusts—and the two men’s personal and political tauntings threaten to send their country into chaos. When Odili launches a vicious campaign against his former mentor for the same seat in an election, their mutual animosity drives the country to revolution.   Published, prophetically, just days before Nigeria’s first attempted coup in 1966, A Man of the People is an essential part of Achebe’s body of work.","Chinua Achebe was born in Nigeria in 1930. His first novel, Things Falls Apart, became a classic of international literature and required reading for students worldwide. He also authored four subsequent novels, two short-story collections, and numerous other books. He was the… More about Chinua Achebe"
Let Me Die in His Footsteps,Lori Roy,"In the spellbinding and suspenseful Let Me Die in His Footsteps, Edgar Award winner for Best Novel, author Lori Roy wrests from a Southern town the secrets of two families touched by an evil that has passed between generations. On a dark Kentucky night in 1952, exactly halfway between her fifteenth and sixteenth birthdays, Annie Holleran crosses into forbidden territory. Everyone knows Hollerans don’t go near Baines, not since Joseph Carl was buried two decades before, but Annie runs through her family’s lavender fields toward the well on the Baines’ place, hoping to see her future in the water. Instead, she finds a body, and Annie’s future becomes inextricably tied with her family’s dark past.  In 1936, the year Annie’s aunt, Juna Crowley, came of age, there were seven Baine boys. Before Juna, Joseph Carl had been the best of all the Baine brothers. But then he looked into Juna’s black eyes and they made him do things that cost innocent people their lives. With the pall of a young child’s death and the dark appetites of men working the sleepy town into a frenzy, Sheriff Irlene Fulkerson saw justice served—or did she?  As the investigation continues and she comes of age as Aunt Juna did in her own time, Annie’s dread mounts. Juna will come home now, to finish what she started. If Annie is to save herself, her family, and this small Kentucky town, she must prepare for Juna’s return, and the revelation of what really happened all those years ago.","Lori Roy is the author of Bent Road, winner of the Edgar Award for Best First Novel; Until She Comes Home, finalist for the Edgar Award for Best Novel; and Let Me Die in His Footsteps, winner of the Edgar Award for Best Novel…. More about Lori Roy"
The Force Awakens (Star Wars),Alan Dean Foster,"#1 NEW YORK TIMES BESTSELLER • The official novelization of Star Wars: The Force Awakens, the blockbuster film directed by J. J. Abrams • Includes two tie-in short stories: “The Perfect Weapon” by Delilah S. Dawson and “Bait” by Alan Dean Foster   More than thirty years ago, Star Wars burst onto the big screen and became a cultural phenomenon. Now the next adventures in this blockbuster saga are poised to captivate old and new fans alike—beginning with the highly anticipated Star Wars: The Force Awakens. And alongside the cinematic debut comes the thrilling novel adaptation by New York Times bestselling science fiction master Alan Dean Foster.   Set years after Return of the Jedi, this stunning new action-packed adventure rockets us back into the world of Princess Leia, Han Solo, Chewbacca, C-3PO, R2-D2, and Luke Skywalker, while introducing a host of exciting new characters. Darth Vader may have been redeemed and the Emperor vanquished, but peace can be fleeting, and evil does not easily relent. Yet the simple belief in good can still empower ordinary individuals to rise and meet the greatest challenges.   So return to that galaxy far, far away, and prepare yourself for what happens when the Force awakens. . . .Praise for Star Wars: The Force Awakens   “Like all the best novelizations, Alan Dean Foster’s adaptation of Star Wars: The Force Awakens enriches the movie experience. The novel goes beyond simply giving us insight into the characters’ thoughts, with plenty of additional scenes painting a broader picture of the galaxy.”—New York Daily News   “Fast-moving, atmospheric and raises goose-bumps at just the right moments. [Foster] not only evokes entire onscreen worlds . . . he also gives us glimpses of an even more vast, unseen universe.”—The Washington Post   “Was my experience of the film enriched by the book? Yes. No question. Is the novelization worth reading? Yes. . . . Foster has written a book that captures the spirit of the film, while presenting additional information that helps answer some of the questions that linger.”—Coffee with Kenobi","Alan Dean Foster has written in a variety of genres, including hard science fiction, fantasy, horror, detective, western, historical, and contemporary fiction. He is the author of the New York Times bestseller Star Wars: The Approaching Storm and the popular Pip & Flinx novels, as… More about Alan Dean Foster"
A Brief History of Seven Killings,Marlon James,"Winner of the Man Booker Prize One of Entertainment Weekly’s Top 10 Books of the DecadeOne of the Top 10 Books of 2014 – Michiko Kakutani, The New York Times    A “thrilling, ambitious . . . intense” (Los Angeles Times) novel that explores the attempted assassination of Bob Marley in the late 1970s, from the author of Black Leopard, Red Wolf  In A Brief History of Seven Killings, Marlon James combines masterful storytelling with his unrivaled skill at characterization and his meticulous eye for detail to forge a novel of dazzling ambition and scope. On December 3, 1976, just before the Jamaican general election and two days before Bob Marley was to play the Smile Jamaica Concert to ease political tensions in Kingston, seven unnamed gunmen stormed the singer’s house, machine guns blazing. The attack wounded Marley, his wife, and his manager, and injured several others. Little was officially released about the gunmen, but rumors abounded regarding the assassins’ fates. A Brief History of Seven Killings is James’s fictional exploration of that dangerous and unstable time in Jamaica’s history and beyond. Deftly spanning decades and continents and peopled with a wide range of characters—assassins, drug dealers, journalists, and even ghosts—James brings to life the people who walked the streets of 1970s Kingston, who dominated the crack houses of 1980s New York, and who reemerged into a radically altered Jamaica of the 1990s. Brilliantly inventive, A Brief History of Seven Killings is an “exhilarating” (The New York Times) epic that’s been called “a tour de force” (The Wall Street Journal).","Marlon James was born in Jamaica in 1970. He is the author of the New York Times-bestseller Black Leopard, Red Wolf, which was a finalist for the National Book Award for fiction in 2019. His novel A Brief History of Seven Killings won… More about Marlon James"
Anna Karenina,Leo Tolstoy,"The must-have Pevear and Volokhonsky translation of one of the greatest Russian novels ever written Described by William Faulkner as the best novel ever written and by Fyodor Dostoevsky as “flawless,” Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and thereby exposes herself to the hypocrisies of society. Set against a vast and richly textured canvas of nineteenth-century Russia, the novel’s seven major characters create a dynamic imbalance, playing out the contrasts of city and country life and all the variations on love and family happiness. While previous versions have softened the robust and sometimes shocking qualities of Tolstoy’s writing, Pevear and Volokhonsky have produced a translation true to his powerful voice. This authoritative edition, which received the PEN Translation Prize and was an Oprah Book Club™ selection, also includes an illuminating introduction and explanatory notes. Beautiful, vigorous, and eminently readable, this Anna Karenina will be the definitive text for fans of the film and generations to come. This Penguin Classics Deluxe Edition also features French flaps and deckle-edged paper.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Leo Tolstoy (1828–1910) was born in central Russia. After serving in the Crimean War, he retired to his estate and devoted himself to writing, farming, and raising his large family. His novels and outspoken social polemics brought him world fame."
The Shadow of the Wind,Carlos Ruiz Zafon,"“Gabriel García Márquez meets Umberto Eco meets Jorge Luis Borges for a sprawling magic show.”—The New York Times Book Review“One gorgeous read.” —Stephen KingA New York Times BestsellerBarcelona, 1945: A city slowly heals in the aftermath of the Spanish Civil War, and Daniel, an antiquarian book dealer’s son who mourns the loss of his mother, finds solace in a mysterious book entitled The Shadow of the Wind, by one Julián Carax. But when he sets out to find the author’s other works, he makes a shocking discovery: someone has been systematically destroying every copy of every book Carax has written. In fact, Daniel may have the last of Carax’s books in existence. Soon Daniel’s seemingly innocent quest opens a door into one of Barcelona’s darkest secrets–an epic story of murder, madness, and doomed love.“Anyone who enjoys novels that are scary, erotic, touching, tragic and thrilling should rush right out to the nearest bookstore and pick up The Shadow of the Wind. Really, you should.” —Michael Dirda, The Washington Post“Wonderous . . . masterful . . . The Shadow of the Wind is ultimately a love letter to literature, intended for readers as passionate about storytelling as its young hero.” —Entertainment Weekly (Editor’s Choice)","Carlos Ruiz Zafon is one of the world’s most read and best-loved writers. His work has been translated into more than forty languages and published around the world, garnering numerous international prizes and reaching millions of readers. He divides his… More about Carlos Ruiz Zafon"
The Sound of Things Falling,Juan Gabriel Vasquez,"An intimate portrayal of the drug wars in Colombia, from international fiction star Juan Gabriel Vasquez. Juan Gabriel Vásquez has been hailed not only as one of South America’s greatest literary stars, but also as one of the most acclaimed writers of his generation. In this New York Times-bestselling, award-winning, gorgeously wrought novel, Vásquez confronts the history of his home country, Colombia.In the city of Bogotá, Antonio Yammara reads an article about a hippo that had escaped from a derelict zoo once owned by legendary Colombian drug kingpin Pablo Escobar. The article transports Antonio back to when the war between Escobar’s Medellín cartel and government forces played out violently in Colombia’s streets and in the skies above. Back then, Antonio witnessed a friend’s murder, an event that haunts him still. As he investigates, he discovers the many ways in which his own life and his friend’s family have been shaped by his country’s recent violent past. His journey leads him all the way back to the 1960s and a world on the brink of change: a time before narco-trafficking trapped a whole generation in a living nightmare.Vásquez is “one of the most original new voices of Latin American literature,” according to Nobel Prize winner Mario Vargas Llosa, and The Sound of Things Falling is his most personal, most contemporary novel to date, a masterpiece that takes his writing—and his literary star—even higher.","Juan Gabriel Vásquez’s previous books include the International IMPAC Dublin Literary Award winner and national bestseller The Sound of Things Falling, and Man Booker International finalist The Shape of the Ruins, as well as the award-winning Reputations, The Informers, The… More about Juan Gabriel Vasquez"
We Are All Completely Beside Ourselves,Karen Joy Fowler,"The New York Times bestselling author of The Jane Austen Book Club introduces a middle-class American family that is ordinary in every way but one in this novel that won the PEN/Faulkner Award and was a finalist for the Man Booker Prize.   Meet the Cooke family: Mother and Dad, brother Lowell, sister Fern, and Rosemary, who begins her story in the middle. She has her reasons. “I was raised with a chimpanzee,” she explains. “I tell you Fern was a chimp and already you aren’t thinking of her as my sister. But until Fern’s expulsion…she was my twin, my funhouse mirror, my whirlwind other half and I loved her as a sister.” As a child, Rosemary never stopped talking. Then, something happened, and Rosemary wrapped herself in silence. In We Are All Completely Beside Ourselves, Karen Joy Fowler weaves her most accomplished work to date—a tale of loving but fallible people whose well-intentioned actions lead to heartbreaking consequences.“A gripping, big-hearted book…through the tender voice of her protagonist, Fowler has a lot to say about family, memory, language, science, and indeed the question of what constitutes a human being.”—Khaled Hosseini ","Karen Joy Fowler, a PEN/Faulkner and California Book Award winner, is the author of six novels (two of them New York Times bestsellers) and four short story collections. She has been a Dublin IMPAC nominee, and was shortlisted for the… More about Karen Joy Fowler"
Blue Dahlia,Nora Roberts,"Against the backdrop of a house steeped in history and a thriving new gardening business, three women unearth the memories of the past in the first novel in #1 New York Times bestselling author Nora Roberts’ In the Garden Trilogy. A Harper has always lived at Harper House, the centuries-old mansion just outside of Memphis. And for as long as anyone alive remembers, the ghostly Harper Bride has walked the halls, singing lullabies at night… Trying to escape the ghosts of the past, young widow Stella Rothchild, along with her two energetic little boys, has moved back to her roots in southern Tennessee. She isn’t intimidated by Harper House—nor by its mistress. Despite a reputation for being difficult, Roz Harper has been nothing but kind to Stella, offering her a comfortable place to live and a challenging new job as manager of the flourishing In the Garden nursery. As Stella settles comfortably into her new life, she finds a nurturing friendship with Roz and expectant mother Hayley and a fierce attraction to ruggedly handsome landscaper Logan Kitridge. He’s difficult but honest, brash but considerate—and undeniably sexy. And for a sensible woman like Stella, he may be just what she needs…  Don’t miss the other books in the In the Garden Trilogy Black RoseRed Lily",Nora Roberts is the #1 New York Times bestselling author of more than 200 novels. She is also the author of the bestselling In Death series written under the pen name J. D. Robb. There are more than 500 million copies of her… More about Nora Roberts
Borderline Fortune,Teresa K. Miller,"A collection that explores inherited trauma on an individual and communal level, from a National Poetry Series–winning poet who “refus[es] the mind’s limits” (Carol Muske-Dukes)Borderline Fortune is a meditation on intangible family inheritance—of unresolved intergenerational conflicts and traumas in particular—set against the backdrop of our planetary inheritance as humans. As species go extinct and glaciers melt, Teresa K. Miller asks what we owe one another and what it means to echo one’s ancestors’ grief and fear. Drawing on her family history, from her great-grandfather’s experience as a schoolteacher on an island in the Bering Strait to her father’s untimely death, as well as her pursuit of regenerative horticulture, Miller seeks through these beautifully crafted poems to awaken from the intergenerational trance and bear witness to our current moment with clarity and attention.","A graduate of Barnard College and the Mills College MFA program, Teresa K. Miller is the author of sped (Sidebrow) and Forever No Lo (Tarpaulin Sky) as well as co-editor of Food First: Selected Writings from 40 Years of Movement… More about Teresa K. Miller"
The Hill We Climb and Other Poems,Amanda Gorman,"A collection of poetry by presidential inaugural poet Amanda GormanIncluding “The Hill We Climb,” the stirring poem read at the inauguration of the 46th President of the United States, Joe Biden, this collection of the same name reveals an energizing and unforgettable new voice in America poetry.","Amanda Gorman is the youngest presidential inaugural poet in US history. She is a committed advocate for the environment, racial equality, and gender justice. Amanda’s activism and poetry have been featured on The Today Show, PBS Kids, and CBS This Morning, and in The New York Times, Vogue, Essence, and O, The Oprah Magazine. In… More about Amanda Gorman"
Mutiny,Phillip B. Williams,"From the critically acclaimed author of Thief in the Interior who writes with “a lucid, unmitigated humanity” (Boston Review), a startling new collection about revolt and renewalMutiny: a rebellion, a subversion, an onslaught. In poems that rebuke classical mythos and western canonical figures, and embrace Afro-Diasporanfolk and spiritual imagery, Phillip B. Williams conjures the hell of being erased, exploited, and ill-imagined and then, through a force and generosity of vision, propels himself into life, selfhood, and a path forward. Intimate, bold, and sonically mesmerizing, Mutiny addresses loneliness, desire, doubt, memory, and the borderline between beauty and tragedy. With a ferocity that belies the tenderness and vulnerability at the heart of this remarkable collection, Williams honors the transformative power of anger, and the clarity that comes from allowing that anger to burn clean.","Phillip B. Williams is from Chicago, IL, and is the author of the book Thief in the Interior (Alice James, 2016). A recipient of the Kate Tufts Discovery Award, Lambda Literary Award, and Whiting Award, he has also received fellowships from the Radcliffe… More about Phillip B. Williams"
The Green Knight (Movie Tie-In),Anonymous,"The inspiration for the major motion picture The Green Knight starring Dev Patel, an early English poem of magic, chivalry and seduction.Composed during the fourteenth century in the English Midlands, Sir Gawain and the Green Knight describes the events that follow when a mysterious green-coloured knight rides into King Arthur’s Camelot in deep mid-winter. The mighty knight presents a challenge to the court: he will allow himself to be struck by one blow, on the condition that he will be allowed to return the strike on the following New Year’s Eve. Sir Gawain takes up the challenge, decapitating the stranger – only to see the Green Knight seize up his own severed head and ride away, leaving Gawain to seek him out and honour their pact. Blending Celtic myth and Christian faith, Gawain is among the greatest Middle English poems: a tale of magic, chivalry and seduction.",Anonymous.
Somebody Else Sold the World,Adrian Matejka,"A resonant new collection on love and persistence from the author of The Big Smoke, a finalist for the National Book Award and the Pulitzer PrizeThe poems in Adrian Matejka’s newest and fifth collection, Somebody Else Sold the World, meditate on the ways we exist in an uncontrollable world: in love and its aftermaths, in families that divide themselves, in protest-filled streets, in isolation as routines become obsolete because of lockdown orders and curfews. Somebody Else uses past and future touchstones like pop songs, love notes, and imaginary gossip to illuminate those moments of splendor that persist even in exhaustion. These poems show that there are many possibilities of brightness and hope, even in the middle of pandemics and revolutions.","Adrian Matejka’s most recent collection of poetry is Map to the Stars. His other books are The Big Smoke, which was the winner of the Anisfield-Wolf Book Award and a finalist for both the National Book Award and Pulitzer Prize; Mixology, which was… More about Adrian Matejka"
Walkman,Michael Robbins,"A new collection from an audacious, humorous poet celebrated for his “sky-blue originality of utterance” (Dwight Garner, The New York Times)Michael Robbins’s first two books of poetry were raucous protests lodged from the frontage roads and big-box stores of off-ramp America. With Walkman, he turns a corner. These new poems confront self-pity and nostalgia in witty-miserable defiance of our political and ecological moment. It’s the end of the world, and Robbins has listened to all the tapes in his backpack. So he’s making music from whatever junk he finds lying around.","Michael Robbins now lives in New Jersey. He is the author of two previous poetry collections, Alien vs. Predator and The Second Sex, and Equipment for Living: On Poetry and Pop Music, a volume of essays, as well as the editor… More about Michael Robbins"
Kalevala,Author > 1,"The great epic poem of Northern Europe, born deep in the heart of ancient Karelian forestsSharing its title with the poetic name for Finland–“the land of heroes”–Kalevala is the soaring epic poem of the Finnish people. Born of an ancient tradition of folklore and song, Kalevala is a work rich in magic, cosmic mystery and myth, presenting a story of a people through the ages, from the dawn of creation. Sung by rural Finns since prehistoric times, and formally compiled by Elias Lönnrot in the nineteenth century, it is a landmark of Finnish culture and it played a vital role in galvanizing Finland’s national identity in the decades leading up to independence. And yet its tales of tragedy and triumph, adventure and ambition, hope, lust, death and birth, reach far beyond the region’s borders, searching the heart of human existence.","Elias Lönnrot was a Finnish country doctor born in 1802. During twenty years spent working in a remote part of eastern Finland, Lönnrot collected fragments of folk tales and poetry which he believed formed a continuous epic. He undertook eleven… More about Elias Lonnrot"
The Life,Carrie Fountain,"An acclaimed poet deepens her exploration of the domestic in a new collection of playful and wise poemsThe poems in Carrie Fountain’s third collection, The Life, exist somewhere, as Rilke says, between “our daily life” and “the great work”–an interstitial space where sidelong glances live alongside shouts to heaven. In elegant, colloquial language, Fountain observes her children dressing themselves in fledgling layers of personhood, creating their own private worlds and personalities, and makes room for genuine marvels in the midst of routine. Attuned to the delicate, fleeting moments that together comprise a life, these poems offer a guide by which to navigate the signs and symbols, and to pilot if not the perfect life, the only life, the life we are given.","Carrie Fountain was born and raised in Mesilla, New Mexico. Fountain’s books include the National Poetry Series award winner Burn Lake and Instant Winner. Her poems have appeared in American Poetry Review, Poetry, and Tin House, among others. She received… More about Carrie Fountain"
Index of Women,Amy Gerstler,"From a “maestra of invention” (The New York Times) who is at once supremely witty, ferociously smart, and emotionally raw, a new collection of poems about womanhoodAmy Gerstler has won acclaim for sly, sophisticated, and subversive poems that find meaning in unexpected places.  Women’s voices, from childhood to old age, dominate this new collection of rants, dramatic monologues, confessions and laments. A young girl muses on virginity. An aging opera singer rages against the fact that she must quit drinking. A woman in a supermarket addresses a head of lettuce. The tooth fairy finally speaks out. Both comic and prayer-like, these poems wrestle with mortality, animality, love, gender, and what it is to be human.","Amy Gerstler is a writer of fiction, poetry, and journalism whose work has appeared in numerous magazines and anthologies, including the Paris Review and Best American Poetry. Her 1990 book Bitter Angel won the National Book Critics Circle Award. Previous… More about Amy Gerstler"
The Hill We Climb,Amanda Gorman,"The instant #1 New York Times bestseller and #1 USA Today bestseller   Amanda Gorman’s electrifying and historic poem “The Hill We Climb,” read at President Joe Biden’s inauguration, is now available as a collectible gift edition, perfect for graduation or any special occasion.   “Stunning.” —CNN “Dynamic.” —NPR “Deeply rousing and uplifting.” —Vogue     On January 20, 2021, Amanda Gorman became the sixth and youngest poet to deliver a poetry reading at a presidential inauguration. Taking the stage after the 46th president of the United States, Joe Biden, Gorman captivated the nation and brought hope to viewers around the globe with her call for unity and healing. Her poem “The Hill We Climb: An Inaugural Poem for the Country” can now be cherished in this special gift edition, perfect for any reader looking for some inspiration. Including an enduring foreword by Oprah Winfrey, this remarkable keepsake celebrates the promise of America and affirms the power of poetry.","Amanda Gorman is the youngest presidential inaugural poet in US history. She is a committed advocate for the environment, racial equality, and gender justice. Amanda’s activism and poetry have been featured on The Today Show, PBS Kids, and CBS This Morning, and in The New York Times, Vogue, Essence, and O, The Oprah Magazine. In… More about Amanda Gorman"
In the Lateness of the World,Carolyn Forché,"“An undisputed literary event.” —NPR“History—with its construction and its destruction—is at the heart of In the Lateness of the World. . . . In [it] one feels the poet cresting a wave—a new wave that will crash onto new lands and unexplored territories.” —Hilton Als, The New Yorker Over four decades, Carolyn Forché’s visionary work has reinvigorated poetry’s power to awaken the reader. Her groundbreaking poems have been testimonies, inquiries, and wonderments. They daringly map a territory where poetry asserts our inexhaustible responsibility to one another. Her first new collection in seventeen years, In the Lateness of the World is a tenebrous book of crossings, of migrations across oceans and borders but also between the present and the past, life and death. The world here seems to be steadily vanishing, but in the moments before the uncertain end, an illumination arrives and “there is nothing that cannot be seen.” In the Lateness of the World is a revelation from one of the finest poets writing today.","Carolyn Forché is an American poet, translator, and memoirist. Her books of poetry are Blue Hour, The Angel of History, The Country Between Us, and Gathering the Tribes. Her memoir, What You Have Heard Is True, was published by Penguin Press in 2019. In 2013,… More about Carolyn Forché"
"Black Girl, Call Home",Jasmine Mans,"A Most Anticipated Book of 2021 by Oprah Magazine • Time •  Vogue • Vulture • Essence • Elle • Cosmopolitan • Real Simple • Marie Claire • Refinery 29 •  Shondaland • Pop Sugar • Bustle • Reader’s Digest “Nothing short of sublime, and the territory [Mans’] explores…couldn’t be more necessary.”—VogueFrom spoken word poet Jasmine Mans comes an unforgettable poetry collection about race, feminism, and queer identity.    With echoes of Gwendolyn Brooks and Sonia Sanchez, Mans writes to call herself—and us—home. Each poem explores what it means to be a daughter of Newark, and America—and the painful, joyous path to adulthood as a young, queer Black woman. Black Girl, Call Home is a love letter to the wandering Black girl and a vital companion to any woman on a journey to find truth, belonging, and healing.","Jasmine Mans is a Black American poet, artist from Newark, New Jersey. She graduated from the University of Wisconsin Madison, with a B.A. in African American Studies. Her debut collection of poetry, Chalk Outlines of Snow Angels, was published in 2012…. More about Jasmine Mans"
The Rumi Prescription,Melody Moezzi,"A powerful personal journey to find meaning and life lessons in the words of a wildly popular 13th century poet.Rumi’s inspiring and deceptively simple poems have been called ecstatic, mystical, and devotional. To writer and activist Melody Moezzi, they became a lifeline. In The Rumi Prescription, we follow her path of discovery as she translates Rumi’s works for herself – to gain wisdom and insight in the face of a creative and spiritual roadblock. With the help of her father, who is a lifelong fan of Rumi’s poetry, she immerses herself in this rich body of work, and discovers a 13th-century prescription for modern life. Addressing isolation, distraction, depression, fear, and other everyday challenges we face, the book offers a roadmap for living with intention and ease, and embracing love at every turn–despite our deeply divided and chaotic times. Most of all, it presents a vivid reminder that we already have the answers we seek, if we can just slow down to honor them.  •  You went out in search of gold far and wide, but all along you were gold on the inside.  •  Become the sky and the clouds that create the rain, not the gutter that carries it to the drain.  •  You already own all the sustenance you seek. If only you’d wake up and take a peek.  •  Quit being a drop. Make yourself an ocean.","Melody Moezzi is a writer, speaker, activist, commentator, columnist, attorney and award-winning author. Her books include War on Error: Real Stories of American Muslims, and more recently, Haldol and Hyacinths: A Bipolar Life, which earned wide critical acclaim and broke… More about Melody Moezzi"
Layli and Majnun,Author > 1,"The Persian epic that inspired Eric Clapton’s unforgettable love song “Layla” and that Lord Byron called “the Romeo and Juliet of the East,” in a masterly new translationA Penguin ClassicThe iconic love story of the Middle East, by a twelfth-century Persian poet who has been compared to Shakespeare for his subtlety, inventiveness, and dramatic force, Layli and Majnun tells of star-crossed lovers whose union is tragically thwarted by their families and whose passion continues to ripple out across the centuries. Theirs is a love that lasts a lifetime, and in Nezami’s immortal telling, erotic longing blends with spiritual self-denial in an allegory of Sufi aspiration, as the amenities of civilization give way to the elemental wilderness, desire is sublimated into a mystical renunciation of the physical world, and the soul confronts its essence. This is a tour de force of Persian literature, in a translation that captures the extraordinary power and virtuosity of the original.",Author error: Sorry I am a failure :( 
